id_transaccion,fecha,cliente_id,tipo_transaccion,monto,moneda,estado,sucursal
91,2024-09-05,CLI083,RETIRO,$2859.35,,APROBADA,Colon
92,2024-07-27,CLI064,TRANSFERENCIA,3255.4,EUR,RECHAZADA,
93,23/01/2024,CLI018,deposito,3476.7,USD,RECHAZADA,
94,16/09/2024,CLI060,retiro,1768.41,,,Colon
95,2024-02-10,CLI015,TRANFERENCIA,261.46,,,Colon
96,2024-05-18,CLI094,DEPOSITO,964.56,,APROBADA,Panama Viejo
97,2024-04-01,CLI033, DEPOSITO ,4437.81,EUR,APROBADA,Colon
98,2024-06-01,CLI002,RETIRO,$4007.09,EUR,RECHAZADA,Colon
99,2024-09-05,CLI038,TRANSFERENCIA,$2794.52,,RECHAZADA,
100,2024-02-05,CLI097,TRANFERENCIA,2021.36,,DESCONOCIDO,
101,2024-10-03,  CLI079  ,RETIRO,3513.01,,,Panama Viejo
102,2024-05-02,CLI052,TRANSFERENCIA,1255.66,,PENDIENTE,Colon
103,2024-08-22,CLI066, DEPOSITO ,$361.24,,,Panama Viejo
104,2024-09-28,CLI052, DEPOSITO ,4717.48,,RECHAZADA,
105,05/02/2024,CLI024,retiro,395.31,EUR,APROBADA,Panama Viejo
106,2024-02-22,CLI062, DEPOSITO ,2611.47,PAN,DESCONOCIDO,Panama Viejo
107,27/06/2024,CLI032,DEPOSITO,2583.58,,DESCONOCIDO,Panama Viejo
108,2024-10-14,  CLI050  ,retiro,3089.16,,APROBADA,Panama Viejo
109,2024-05-28,CLI097,DEPOSITO,3720.89,,,  Los Santos
110,2024-04-05,CLI043,TRANFERENCIA,438.12,EUR,PENDIENTE,Panama Viejo
111,2024-08-24,CLI093,RETIRO,1725.61,USD,,
112,24/03/2024,CLI034,TRANSFERENCIA,3292.74,USD,APROBADA,
113,2024-03-19,CLI089,retiro,750.73,,DESCONOCIDO,
114,2024-11-19,CLI086, DEPOSITO ,1947.94,,RECHAZADA,Colon
115,2024-10-26,  CLI040  ,retiro,706.7,,RECHAZADA,Panama Viejo
116,2024-05-18,  CLI088  ,RETIRO,2159.36,USD,,Panama Viejo
117,17/04/2024,CLI091,TRANSFERENCIA,1507.29,EUR,,
118,2024-01-08,CLI089,TRANSFERENCIA,1555.74,,DESCONOCIDO,Panama Viejo
119,14/07/2024,  CLI038  ,DEPOSITO,3797.34,PAN,DESCONOCIDO,
120,2024-12-03,CLI029,retiro,3601.93,USD,DESCONOCIDO,Colon
121,27/02/2024,CLI018, DEPOSITO ,2772.04,USD,DESCONOCIDO,  Los Santos
122,2024-09-20,CLI059,TRANFERENCIA,3805.11,EUR,DESCONOCIDO,Centro 
123,26/11/2024,CLI078,DEPOSITO,1195.85,,APROBADA,
124,2024-03-20,CLI090,TRANFERENCIA,2182.25,,APROBADA,Colon
125,13/05/2024,CLI061,DEPOSITO,3604.2,,DESCONOCIDO,
126,2024-01-13,CLI086,TRANSFERENCIA,2938.39,,,Colon
127,21/05/2024,CLI098,DEPOSITO,4966.4,,RECHAZADA,  Los Santos
128,2024-12-10,CLI097,RETIRO,1431.7,,PENDIENTE,  Los Santos
129,2024-04-29,CLI011,TRANSFERENCIA,4264.17,PAN,PENDIENTE,Centro 
130,24/02/2024,CLI068,retiro,$4111.48,EUR,,
131,27/06/2024,CLI010,retiro,1307.38,,DESCONOCIDO,  Los Santos
132,16/09/2024,CLI015, DEPOSITO ,2737.25,PAN,RECHAZADA,Colon
133,2024-08-10,  CLI071  ,retiro,689.05,,APROBADA,Panama Viejo
134,2024-02-05,CLI026,deposito,$1784.72,,,Centro 
135,27/07/2024,CLI020,TRANFERENCIA,$1841.74,,RECHAZADA,  Los Santos
136,2024-08-30,  CLI067  ,retiro,1088.27,USD,,  Los Santos
137,2024-05-01,CLI088,TRANSFERENCIA,368.72,EUR,,  Los Santos
138,05/10/2024,CLI075,deposito,4581.2,USD,RECHAZADA,Panama Viejo
139,2024-10-28,CLI066,retiro,3590.26,,APROBADA,Colon
140,21/07/2024,CLI008,DEPOSITO,781.8,,,  Los Santos
141,2024-05-22,CLI066,retiro,3416.94,,DESCONOCIDO,  Los Santos
142,2024-02-05,CLI073,RETIRO,4529.04,PAN,DESCONOCIDO,
143,2024-07-10,  CLI060  ,TRANSFERENCIA,1432.01,,DESCONOCIDO,Panama Viejo
144,2024-03-12,CLI040,retiro,2839.05,,DESCONOCIDO,
145,13/11/2024,CLI051,TRANSFERENCIA,$289.05,,RECHAZADA,Centro 
146,2024-11-23,CLI001, DEPOSITO ,1674.44,,APROBADA,Colon
147,2024-10-22,CLI075,deposito,2024.26,,PENDIENTE,Panama Viejo
148,25/12/2024,  CLI055  ,TRANFERENCIA,4335.91,,,Colon
149,2024-12-25,CLI009,DEPOSITO,3229.17,USD,APROBADA,  Los Santos
150,2024-06-30,CLI008,retiro,-41.68,,,Panama Viejo
151,01/04/2024,CLI009,RETIRO,1850.68,USD,,  Los Santos
152,2024-04-18,CLI061, DEPOSITO ,110.03,EUR,,  Los Santos
153,23/04/2024,  CLI053  , DEPOSITO ,662.86,EUR,,Centro 
154,2024-03-28,  CLI018  ,TRANFERENCIA,1026.07,PAN,PENDIENTE,
155,26/04/2024,CLI094,DEPOSITO,$3660.58,USD,PENDIENTE,Centro 
156,2024-04-29,CLI054,deposito,2172.64,PAN,RECHAZADA,  Los Santos
157,2024-03-05,CLI049,RETIRO,2474.12,,PENDIENTE,Centro 
158,2024-05-05,CLI049,TRANFERENCIA,1377.89,USD,,Colon
159,2024-03-14,CLI088,DEPOSITO,574.16,,,Centro 
160,2024-08-17,CLI070,RETIRO,$2861.49,EUR,PENDIENTE,Colon
161,2024-08-04,  CLI045  ,retiro,$2001.96,,RECHAZADA,Centro 
162,2024-06-01,  CLI069  ,TRANSFERENCIA,$2514.1,EUR,PENDIENTE,Centro 
163,2024-07-24,CLI017,RETIRO,564.91,,DESCONOCIDO,Colon
164,14/04/2024,CLI029,deposito,$2800.89,USD,,Centro 
165,23/02/2024,CLI097, DEPOSITO ,3226.47,,APROBADA,Panama Viejo
166,2024-05-03,  CLI039  ,deposito,3041.58,USD,RECHAZADA,  Los Santos
167,13/01/2024,CLI093, DEPOSITO ,1155.85,,RECHAZADA,  Los Santos
168,2024-05-05,CLI069,deposito,$3886.09,,DESCONOCIDO,  Los Santos
169,2024-03-12,CLI030,DEPOSITO,4613.1,PAN,PENDIENTE,Colon
170,2024-04-22,CLI045,deposito,$3362.02,EUR,RECHAZADA,Centro 
171,2024-05-30,  CLI025  ,retiro,1676.37,USD,DESCONOCIDO,
172,2024-02-19,CLI093,DEPOSITO,2928.77,,,Centro 
173,2024-10-14,CLI005,TRANSFERENCIA,$1531.05,,DESCONOCIDO,Colon
174,2024-09-28,CLI054,deposito,3042.73,,PENDIENTE,
175,07/12/2024,CLI003,DEPOSITO,2155.27,PAN,,Centro 
176,2024-04-22,CLI009,DEPOSITO,$233.94,,APROBADA,  Los Santos
177,2024-07-16,  CLI005  ,retiro,918.39,EUR,APROBADA,Colon
178,2024-01-17,CLI087,retiro,3764.44,EUR,PENDIENTE,  Los Santos
179,07/12/2024,CLI007,TRANSFERENCIA,473.1,USD,PENDIENTE,
180,2024-09-27,CLI006,deposito,$4745.22,PAN,,Centro 
181,2024-07-25,CLI030,RETIRO,4330.64,PAN,PENDIENTE,Centro 
182,2024-01-30,CLI097,retiro,-29.96,,,Centro 
183,2024-08-31,CLI008,TRANFERENCIA,467.52,,PENDIENTE,  Los Santos
184,2024-07-02,  CLI038  ,TRANSFERENCIA,16.02,PAN,PENDIENTE,Panama Viejo
185,17/03/2024,CLI094,DEPOSITO,2643.83,,PENDIENTE,
186,2024-10-16,CLI074,RETIRO,2568.66,EUR,,Centro 
187,2024-02-10,CLI087,deposito,2363.43,USD,RECHAZADA,Centro 
188,02/05/2024,CLI031,deposito,620.87,USD,PENDIENTE,Colon
189,2024-01-26,CLI019,retiro,-6.22,PAN,RECHAZADA,Panama Viejo
190,2024-08-20,CLI067,deposito,3283.99,,RECHAZADA,  Los Santos
191,2024-10-04,CLI039,retiro,$859.9,,,Colon
192,2024-10-31,CLI072, DEPOSITO ,3924.86,,PENDIENTE,Colon
193,2024-10-22,CLI095,DEPOSITO,170.73,,APROBADA,Panama Viejo
194,07/02/2024,CLI081, DEPOSITO ,-57.5,,DESCONOCIDO,Panama Viejo
195,2024-10-28,CLI072,RETIRO,1283.68,PAN,,  Los Santos
196,2024-10-26,CLI045,TRANSFERENCIA,3266.51,USD,,Panama Viejo
197,2024-04-05,CLI086, DEPOSITO ,-2.7,USD,,
198,2024-03-22,CLI068,TRANFERENCIA,3212.0,PAN,DESCONOCIDO,Colon
199,05/07/2024,CLI054,TRANSFERENCIA,1841.58,PAN,APROBADA,
200,2024-07-05,CLI039,deposito,407.98,,APROBADA,
201,17/06/2024,CLI097,retiro,4320.54,,APROBADA,  Los Santos
202,2024-07-14,CLI031,DEPOSITO,850.73,,RECHAZADA,Centro 
203,24/06/2024,CLI039,RETIRO,2235.73,,RECHAZADA,Centro 
204,2024-10-28,CLI019,DEPOSITO,9.59,EUR,RECHAZADA,Centro 
205,2024-12-18,CLI008, DEPOSITO ,2600.02,,RECHAZADA,Centro 
206,2024-09-20,CLI054, DEPOSITO ,1906.34,USD,,Colon
207,08/02/2024,CLI018,DEPOSITO,1668.58,PAN,,Panama Viejo
208,2024-03-19,CLI033,retiro,3088.68,,RECHAZADA,  Los Santos
209,19/06/2024,CLI083,RETIRO,4889.05,PAN,,Panama Viejo
210,2024-03-21,  CLI058  ,TRANFERENCIA,4040.65,PAN,DESCONOCIDO,  Los Santos
211,19/05/2024,CLI012,TRANSFERENCIA,4381.25,PAN,DESCONOCIDO,
212,15/05/2024,CLI025,deposito,4055.78,,,Panama Viejo
213,2024-01-17,  CLI049  , DEPOSITO ,$2779.15,EUR,,Colon
214,2024-07-23,CLI078, DEPOSITO ,673.71,EUR,DESCONOCIDO,  Los Santos
215,2024-01-13,  CLI010  ,DEPOSITO,3250.35,PAN,APROBADA,Colon
216,2024-08-23,  CLI098  ,TRANSFERENCIA,$1917.21,EUR,RECHAZADA,Panama Viejo
217,2024-05-20,CLI086,TRANFERENCIA,3023.49,,,  Los Santos
218,2024-04-24,CLI062, DEPOSITO ,1059.88,,,Centro 
219,2024-08-04,CLI043,retiro,679.02,USD,PENDIENTE,Colon
220,08/12/2024,CLI002, DEPOSITO ,4539.65,PAN,PENDIENTE,  Los Santos
221,26/12/2024,CLI025,deposito,2665.39,EUR,,Panama Viejo
222,2024-05-20,CLI016,retiro,606.74,USD,,
223,2024-09-16,CLI097,TRANFERENCIA,3980.54,USD,PENDIENTE,
224,03/06/2024,CLI032,DEPOSITO,1475.89,USD,,  Los Santos
225,08/08/2024,CLI091,deposito,2571.41,USD,,
226,2024-10-22,CLI031,deposito,$4978.47,,APROBADA,Centro 
227,09/11/2024,CLI100,DEPOSITO,640.28,,PENDIENTE,Panama Viejo
228,19/05/2024,CLI060,TRANFERENCIA,4577.27,,RECHAZADA,
229,2024-02-06,CLI046, DEPOSITO ,2742.44,,,Panama Viejo
230,02/01/2024,CLI047,deposito,503.78,PAN,PENDIENTE,Colon
231,2024-05-30,CLI064,deposito,4386.15,,,Centro 
232,2024-03-12,CLI093,TRANFERENCIA,3803.72,,,
233,2024-11-27,CLI041,RETIRO,2011.6,,,Colon
234,2024-10-28,CLI048,retiro,2159.32,PAN,,Panama Viejo
235,2024-07-13,CLI006, DEPOSITO ,4460.06,PAN,PENDIENTE,  Los Santos
236,2024-11-26,CLI029,DEPOSITO,1296.36,,,Centro 
237,2024-11-28,CLI003,TRANSFERENCIA,444.53,PAN,RECHAZADA,Centro 
238,19/06/2024,CLI075,retiro,3788.48,,RECHAZADA,
239,14/04/2024,CLI054,TRANFERENCIA,1261.0,,,
240,06/03/2024,CLI026,deposito,1077.65,USD,,Colon
241,05/06/2024,CLI049,TRANSFERENCIA,3405.63,,RECHAZADA,Panama Viejo
242,2024-11-19,CLI032,TRANFERENCIA,3409.52,,PENDIENTE,Centro 
243,2024-08-27,CLI084,TRANFERENCIA,2461.86,,,Centro 
244,2024-07-16,CLI044, DEPOSITO ,3531.3,USD,PENDIENTE,Colon
245,17/03/2024,CLI063,RETIRO,4245.86,USD,,  Los Santos
246,2024-06-10,CLI083,TRANFERENCIA,601.31,PAN,APROBADA,Panama Viejo
247,2024-11-30,CLI059,TRANFERENCIA,64.37,USD,DESCONOCIDO,  Los Santos
248,14/04/2024,  CLI046  ,deposito,-23.43,PAN,APROBADA,  Los Santos
249,2024-11-01,  CLI093  ,DEPOSITO,2006.52,,,Colon
250,2024-09-14,CLI024,TRANSFERENCIA,4940.04,EUR,DESCONOCIDO,Colon
251,14/04/2024,CLI070,retiro,237.3,,PENDIENTE,Panama Viejo
252,25/12/2024,CLI008, DEPOSITO ,4926.7,,PENDIENTE,  Los Santos
253,2024-07-12,CLI010,TRANSFERENCIA,2398.71,USD,,  Los Santos
254,2024-09-03,CLI086,retiro,2233.48,PAN,PENDIENTE,  Los Santos
255,25/10/2024,  CLI001  ,TRANFERENCIA,1964.82,,,  Los Santos
256,2024-03-06,CLI081,retiro,$3679.31,EUR,,Colon
257,09/10/2024,CLI091,TRANFERENCIA,1495.78,EUR,RECHAZADA,  Los Santos
258,2024-07-04,  CLI028  ,retiro,3686.59,,APROBADA,Centro 
259,24/05/2024,CLI048,RETIRO,2578.68,,,Centro 
260,2024-03-06,  CLI082  ,retiro,3913.29,USD,DESCONOCIDO,Centro 
261,2024-10-04,CLI079,TRANSFERENCIA,2203.21,USD,APROBADA,Panama Viejo
262,2024-05-15,CLI085,TRANSFERENCIA,116.32,,DESCONOCIDO,  Los Santos
263,2024-08-22,CLI001,retiro,2545.38,USD,RECHAZADA,Colon
264,27/01/2024,CLI053,TRANFERENCIA,3649.37,USD,,
265,21/03/2024,  CLI068  ,retiro,2532.25,EUR,,Centro 
266,2024-01-08,CLI069,TRANFERENCIA,151.41,PAN,,Centro 
267,2024-05-14,CLI003,deposito,1930.0,,DESCONOCIDO,
268,2024-05-14,CLI090,retiro,4120.87,EUR,DESCONOCIDO,  Los Santos
269,12/04/2024,CLI023,TRANSFERENCIA,2054.56,EUR,RECHAZADA,  Los Santos
270,17/12/2024,  CLI013  ,DEPOSITO,178.19,,PENDIENTE,Centro 
271,13/05/2024,CLI031,TRANSFERENCIA,625.42,EUR,,Centro 
272,27/09/2024,  CLI068  ,deposito,2203.66,EUR,RECHAZADA,Colon
273,26/11/2024,CLI046,deposito,477.18,EUR,APROBADA,
274,16/03/2024,CLI051,retiro,4683.0,USD,,  Los Santos
275,2024-12-16,  CLI052  ,TRANSFERENCIA,590.06,,PENDIENTE,Panama Viejo
276,2024-02-08,CLI032, DEPOSITO ,2199.52,,DESCONOCIDO,  Los Santos
277,2024-05-06,CLI029, DEPOSITO ,2910.61,,APROBADA,Panama Viejo
278,09/06/2024,CLI011,TRANSFERENCIA,929.85,USD,APROBADA,Colon
279,2024-09-21,CLI084, DEPOSITO ,1175.42,,,  Los Santos
280,17/12/2024,CLI012, DEPOSITO ,4526.53,,APROBADA,Panama Viejo
281,22/03/2024,CLI049,deposito,3563.71,PAN,,  Los Santos
282,02/10/2024,CLI008,DEPOSITO,$579.68,EUR,PENDIENTE,  Los Santos
283,2024-07-10,CLI090,RETIRO,1751.01,,RECHAZADA,
284,2024-02-26,  CLI064  ,retiro,1858.85,,APROBADA,Centro 
285,20/01/2024,CLI083,RETIRO,2509.5,USD,DESCONOCIDO,Panama Viejo
286,15/09/2024,CLI073, DEPOSITO ,1831.26,USD,RECHAZADA,Centro 
287,2024-02-04,CLI013,RETIRO,3818.13,,RECHAZADA,Colon
288,2024-07-29,CLI006,TRANSFERENCIA,2784.01,,,
289,2024-04-26,CLI089,RETIRO,665.46,EUR,APROBADA,Panama Viejo
290,2024-02-13,CLI061, DEPOSITO ,812.22,,APROBADA,Centro 
291,15/12/2024,CLI010,retiro,2039.87,EUR,,Panama Viejo
292,2024-11-01,CLI036,TRANSFERENCIA,3820.02,USD,RECHAZADA,
293,2024-10-09,CLI073, DEPOSITO ,3094.91,,DESCONOCIDO,Centro 
294,08/05/2024,CLI023,DEPOSITO,$666.54,,PENDIENTE,Colon
295,02/06/2024,CLI041, DEPOSITO ,3075.06,,APROBADA,  Los Santos
296,2024-10-09,  CLI027  ,DEPOSITO,2239.08,PAN,APROBADA,Panama Viejo
297,13/11/2024,CLI097,TRANFERENCIA,2671.86,,,
298,2024-09-28,CLI051, DEPOSITO ,$4414.69,,PENDIENTE,  Los Santos
299,2024-05-03,CLI039,TRANFERENCIA,2903.2,,APROBADA,Panama Viejo
300,24/03/2024,  CLI031  , DEPOSITO ,1991.77,EUR,DESCONOCIDO,Centro 
301,2024-07-10,CLI050,deposito,$3004.51,PAN,DESCONOCIDO,Centro 
302,2024-11-23,CLI070,RETIRO,2691.44,USD,APROBADA,Colon
303,2024-11-07,CLI097, DEPOSITO ,2743.5,,RECHAZADA,  Los Santos
304,2024-04-18,CLI089, DEPOSITO ,149.49,PAN,PENDIENTE,
305,2024-03-12,CLI065,TRANSFERENCIA,$3269.85,USD,,
306,2024-11-23,CLI045,retiro,$4270.61,USD,PENDIENTE,
307,2024-09-27,  CLI056  ,TRANFERENCIA,4173.87,,,
308,2024-05-03,CLI010,TRANSFERENCIA,4593.96,PAN,DESCONOCIDO,
309,2024-07-23,CLI099,TRANFERENCIA,$2090.62,PAN,,Colon
310,23/07/2024,CLI077,TRANFERENCIA,3327.66,USD,,Panama Viejo
311,2024-03-21,CLI100,TRANSFERENCIA,3426.72,,,
312,2024-12-01,CLI082,deposito,3915.27,,RECHAZADA,Centro 
313,2024-12-22,CLI058,DEPOSITO,2222.22,USD,APROBADA,Colon
314,2024-12-03,CLI046,RETIRO,4650.55,,APROBADA,
315,2024-05-16,CLI049,retiro,$1503.48,USD,APROBADA,Colon
316,22/05/2024,CLI088, DEPOSITO ,1832.59,,PENDIENTE,Centro 
317,2024-01-08,CLI049,TRANFERENCIA,$2142.35,PAN,,Colon
318,24/02/2024,  CLI080  , DEPOSITO ,1393.45,,,Panama Viejo
319,20/11/2024,CLI032,TRANFERENCIA,$3476.15,,DESCONOCIDO,Centro 
320,25/02/2024,CLI011,retiro,2587.97,USD,DESCONOCIDO,Centro 
321,08/04/2024,CLI049,retiro,3448.73,EUR,PENDIENTE,Colon
322,2024-03-24,CLI082, DEPOSITO ,457.44,EUR,,Panama Viejo
323,2024-02-10,  CLI050  ,deposito,3107.79,,,Panama Viejo
324,2024-11-21,CLI014,retiro,2366.68,PAN,RECHAZADA,Panama Viejo
325,2024-01-17,  CLI040  , DEPOSITO ,4662.85,,DESCONOCIDO,  Los Santos
326,2024-08-17,CLI098,TRANFERENCIA,1364.66,USD,PENDIENTE,Panama Viejo
327,2024-06-15,CLI017,TRANSFERENCIA,1514.09,,,
328,2024-08-20,  CLI056  ,RETIRO,4974.62,,,
329,2024-02-27,CLI072,retiro,561.54,EUR,RECHAZADA,Centro 
330,2024-05-01,CLI014,RETIRO,2550.5,EUR,,Panama Viejo
331,2024-05-22,  CLI046  ,RETIRO,2411.77,,,  Los Santos
332,14/08/2024,CLI077,deposito,3007.97,EUR,RECHAZADA,Panama Viejo
333,2024-10-31,CLI042,TRANSFERENCIA,4894.21,EUR,RECHAZADA,Colon
334,19/12/2024,CLI002,TRANSFERENCIA,$129.69,EUR,DESCONOCIDO,  Los Santos
335,23/04/2024,CLI050,deposito,501.42,,,Centro 
336,2024-04-22,CLI093,DEPOSITO,3977.78,,PENDIENTE,Centro 
337,12/08/2024,CLI032,retiro,2011.61,,DESCONOCIDO,  Los Santos
338,2024-07-05,CLI022,RETIRO,2758.12,EUR,RECHAZADA,Panama Viejo
339,06/03/2024,CLI022,TRANSFERENCIA,-42.38,EUR,,
340,2024-08-04,  CLI039  ,retiro,1336.3,USD,PENDIENTE,Panama Viejo
341,16/03/2024,CLI019,RETIRO,1469.64,PAN,DESCONOCIDO,Colon
342,2024-04-03,  CLI056  ,RETIRO,1552.01,EUR,RECHAZADA,Panama Viejo
343,2024-04-27,CLI039,TRANSFERENCIA,$3432.32,PAN,DESCONOCIDO,Colon
344,2024-12-18,CLI010,DEPOSITO,3594.42,,RECHAZADA,  Los Santos
345,2024-09-01,CLI032,TRANFERENCIA,48.5,USD,,  Los Santos
346,06/03/2024,CLI064,retiro,1585.63,EUR,RECHAZADA,Panama Viejo
347,2024-12-28,CLI026,retiro,3329.61,,DESCONOCIDO,Colon
348,2024-08-19,CLI018,deposito,3966.0,EUR,,Centro 
